total_area_px,coverage_ratio,height_proxy,width_proxy,aspect_ratio,compactness,canopy_h_cm,canopy_w_cm,hull_ratio,perimeter_px,perimeter_ratio,leaf_count,leaf_count_raw,leaf_count_method,shoot_count,root_count,stem_count,mean_leaf_area_px,leaf_area_cv,max_leaf_area_px,green_pct,greenness,dark_green_ratio,yellow_ratio,brown_ratio,healthy_color,mean_hue,mean_sat,mean_val,glare_score,condensation_score,brightness_mean,brightness_std,mean_score,min_score,score_std,image,species,verdict,readiness_index,confidence,quality_warning,note
70551,0.007881,0.128008,0.460896,0.277737,0.13358,,,0.298688,3428.27,0.286453,1,1,prompt,0,0,2,34940.0,0.0,34940.0,87.02,0.3916,17.01,3.63,0.0,83.4,38.93,87.48,112.88,1.26,1.8,133.92,34.07,0.6337,0.528,0.0844,054.jpg,พริกจินดา,ยังไม่พร้อม,0.3034,0.7899,,
114670,0.017756,0.150533,0.415396,0.308566,0.283955,,,0.434645,3362.77,0.329748,4,5,prompt,1,0,0,18885.25,0.579,31250.0,72.06,0.382,68.21,10.31,0.07,61.68,39.28,74.27,75.96,0.95,2.05,119.14,39.48,0.789,0.5781,0.1084,055.jpg,พริกจินดา,ยังไม่พร้อม,0.2702,0.7924,,
171542,0.019162,0.264372,0.221591,1.193062,0.3271,,,0.508733,4465.24,0.373098,1,6,prompt,1,0,1,168311.0,0.0,168311.0,75.75,0.383,48.88,6.05,0.0,69.69,42.72,70.74,98.21,1.54,2.27,121.79,38.16,0.6501,0.5269,0.0994,056.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3161,0.7877,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
106179,0.011861,0.146056,0.194184,0.752151,0.418197,,,1.324142,1749.42,0.146174,4,7,prompt,0,0,0,29866.25,0.8618,66835.0,96.85,0.4155,76.87,1.34,0.0,95.51,40.79,110.82,78.59,1.9,2.64,123.46,35.65,0.6707,0.5068,0.1186,057.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3403,0.7848,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
324700,0.036271,0.549131,0.520388,1.055234,0.126928,,,0.226438,8102.52,0.677016,1,8,prompt,1,0,2,285129.0,0.0,285129.0,90.97,0.4024,54.54,4.61,0.0,86.36,39.51,99.27,87.69,1.96,2.65,125.66,38.84,0.7104,0.5411,0.0829,058.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.4558,0.7843,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
239837,0.026791,0.385695,0.469251,0.821937,0.148028,,,0.237308,8931.14,0.746252,1,2,prompt,1,0,3,95479.0,0.0,95479.0,56.6,0.3693,33.15,7.25,0.0,49.34,42.87,55.43,100.55,1.87,2.46,126.49,35.57,0.7775,0.6882,0.0526,059.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.2989,0.785,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
263212,0.038332,0.292375,0.498663,0.449732,0.262914,,,0.454806,4964.9,0.469539,1,5,prompt,1,0,1,198734.0,0.0,198734.0,88.75,0.4086,48.44,5.64,0.03,83.08,39.7,103.58,90.2,0.99,1.28,125.8,32.74,0.8044,0.6506,0.1006,060.jpg,พริกจินดา,ยังไม่พร้อม,0.3731,0.7921,,
208344,0.027798,0.194012,0.554144,0.293124,0.258559,,,0.407443,4690.33,0.426626,2,5,prompt,1,0,1,67669.0,0.7468,118207.0,73.89,0.3825,57.66,10.0,0.0,63.89,39.19,74.79,86.45,0.87,1.49,122.41,37.09,0.6998,0.5417,0.1246,061.jpg,พริกจินดา,ยังไม่พร้อม,0.2938,0.793,,
245557,0.034123,0.462656,0.396517,0.941723,0.186005,,,0.268513,6377.18,0.590917,1,4,prompt,1,0,3,228871.0,0.0,228871.0,87.23,0.4154,80.89,7.91,0.18,79.14,39.61,111.37,72.83,1.86,2.76,121.85,39.3,0.7737,0.569,0.1272,062.jpg,พริกจินดา,ยังไม่พร้อม,0.4175,0.7851,,
112562,0.013331,0.341892,0.334343,0.978852,0.116621,,,0.307213,4397.96,0.378287,3,3,prompt,1,0,4,17176.67,0.7513,35293.0,44.02,0.3677,32.73,7.63,0.0,36.4,39.37,54.49,92.8,1.41,2.07,120.22,36.65,0.6524,0.5334,0.1117,063.jpg,พริกจินดา,ยังไม่พร้อม,0.2413,0.7887,,
151889,0.016967,0.284425,0.417781,0.6808,0.142786,,,0.247921,4741.26,0.396161,1,4,prompt,1,0,2,71905.0,0.0,71905.0,66.4,0.3781,43.04,13.09,0.0,53.32,39.58,68.56,95.37,1.57,2.22,128.17,33.02,0.7206,0.525,0.1181,064.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.293,0.7874,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
280098,0.031289,0.297794,0.548128,0.543293,0.191685,,,0.278109,7111.06,0.594173,3,4,prompt,1,0,2,64531.0,0.1752,73164.0,76.72,0.3898,67.33,9.29,0.0,67.43,40.12,80.9,76.52,1.4,2.43,120.82,35.18,0.772,0.6451,0.1204,065.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3351,0.7888,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
89284,0.010489,0.227065,0.264037,0.817722,0.17495,,,0.318331,3206.38,0.27466,3,3,prompt,1,0,1,23987.0,0.217,30771.0,82.72,0.3778,39.71,1.1,0.02,81.61,43.81,62.15,94.3,1.92,2.38,127.06,35.04,0.7807,0.5745,0.1232,066.jpg,พริกจินดา,ยังไม่พร้อม,0.3215,0.7846,,
120496,0.015436,0.327328,0.331885,0.86002,0.142091,,,0.246842,4132.76,0.368931,2,5,prompt,1,0,4,52448.0,0.6106,84472.0,40.02,0.3653,33.74,4.25,0.4,35.36,41.73,49.11,97.82,1.1,1.53,125.11,31.51,0.7176,0.5411,0.1319,067.jpg,พริกจินดา,ยังไม่พร้อม,0.226,0.7912,,
226499,0.03114,0.354175,0.465241,0.618534,0.188984,,,0.594193,3872.49,0.357044,3,7,prompt,1,0,5,51863.33,0.474,82676.0,73.46,0.3791,48.3,5.4,0.01,68.06,39.87,68.12,88.85,0.87,1.5,127.51,33.11,0.7048,0.5409,0.0988,068.jpg,พริกจินดา,ยังไม่พร้อม,0.3422,0.793,,
268685,0.030014,0.260361,0.535428,0.486267,0.2153,,,0.307628,6388.52,0.5338,2,4,prompt,1,0,1,71135.0,0.2604,89659.0,53.68,0.3702,11.78,3.06,0.0,50.62,40.23,55.26,118.24,1.12,1.49,137.19,29.8,0.8297,0.7812,0.04,069.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.2542,0.791,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
190497,0.02536,0.238697,0.199792,1.083478,0.53178,,,0.52038,3481.69,0.31721,3,4,prompt,1,0,1,43766.33,0.2921,60480.0,71.02,0.3783,21.75,4.23,0.04,66.75,44.66,60.73,100.83,0.47,0.67,134.74,28.21,0.7712,0.5738,0.1239,070.jpg,พริกจินดา,ยังไม่พร้อม,0.2973,0.7962,,
466034,0.062229,0.615262,0.666444,0.772317,0.151765,,,0.250417,9964.01,0.906643,4,4,prompt,1,0,2,85851.0,0.7695,161517.0,87.35,0.3945,26.54,6.65,0.0,80.7,41.73,82.49,102.72,0.33,0.57,151.19,27.86,0.8243,0.5796,0.1094,071.jpg,พริกจินดา,ยังไม่พร้อม,0.4777,0.7974,,
160479,0.017926,0.352607,0.187166,1.883929,0.27163,,,0.504641,3996.86,0.333962,3,3,prompt,1,0,1,41929.0,0.614,65456.0,62.85,0.3722,16.27,6.23,0.01,56.61,39.94,60.46,108.86,0.62,1.35,152.53,27.63,0.7271,0.5111,0.1597,072.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3033,0.795,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
231098,0.025815,0.341912,0.56885,0.601058,0.132728,,,0.244442,6298.34,0.526265,2,4,prompt,1,0,3,87268.5,0.3439,117282.0,78.71,0.3948,52.22,16.38,0.0,62.34,36.65,94.68,83.37,1.64,2.39,124.39,34.93,0.6891,0.5578,0.122,073.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3516,0.7869,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
139174,0.021048,0.38552,0.320856,0.8875,0.170156,,,0.251411,4671.94,0.449053,2,3,prompt,1,0,1,46632.0,0.4367,66994.0,54.87,0.3677,32.19,6.99,0.0,47.88,40.16,51.98,96.36,0.57,0.99,133.8,28.96,0.7575,0.6362,0.0974,074.jpg,พริกจินดา,ยังไม่พร้อม,0.2908,0.7954,,
95320,0.012518,0.137525,0.425134,0.275157,0.214106,,,0.478649,3202.43,0.289185,1,1,prompt,1,0,1,37302.0,0.0,37302.0,21.61,0.3539,0.03,1.56,0.0,20.05,41.03,34.08,150.84,0.37,0.53,166.4,16.2,0.6668,0.5948,0.0864,075.jpg,พริกจินดา,ยังไม่พร้อม,0.1123,0.797,,
277760,0.031027,0.259693,0.613971,0.422972,0.194599,,,0.325297,6846.25,0.572047,5,5,prompt,1,0,1,37408.2,0.6094,64610.0,70.06,0.3852,36.53,17.3,0.06,52.7,36.42,82.18,98.75,1.1,1.75,140.49,30.56,0.8492,0.7838,0.056,076.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3036,0.7912,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
661931,0.073942,0.542781,0.906417,0.59882,0.150292,,,0.393517,10347.56,0.864602,6,6,prompt,2,0,4,45188.67,0.6182,87110.0,42.83,0.3629,5.94,6.81,0.37,35.65,33.34,53.83,121.41,0.95,1.56,142.26,31.2,0.7726,0.5754,0.1294,077.jpg,พริกจินดา,ROI-ไม่ชัด-ตรวจเอง,0.3283,0.7924,,ไม่พบขวด (SAM3) → ROI ทั้งภาพ
